region_code,Name,Q1_1_1_visited_region_jan,Q1_1_2_visited_region_feb,Q1_1_3_visited_region_mar,Q1_1_4_visited_region_apr,Q1_1_5_visited_region_may,Q1_1_6_visited_region_jun,Q1_1_7_visited_region_jul,Q1_1_8_visited_region_aug,Q1_1_9_visited_region_sep,Q1_1_10_visited_region_oct,Q1_1_11_visited_region_nov,Q1_1_12_visited_region_dec,Q1_2_1_visited_region_japan,Q1_2_2_visited_region_china,Q1_2_3_visited_region_hongkong,Q1_2_4_visited_region_singapore,Q1_2_5_visited_region_taiwan,Q1_2_6_visited_region_thailand,Q1_2_7_visited_region_malaysia,Q1_2_8_visited_region_australia,Q1_2_9_visited_region_america,Q1_2_10_visited_region_canada,Q1_2_11_visited_region_england,Q1_2_12_visited_region_germany,Q1_2_13_visited_region_france,Q1_2_14_visited_region_russia,Q1_2_15_stay_days_middleEast,Q1_2_19_visited_region_india,Q1_2_20_visited_region_philipines,Q1_2_21_visited_region_indonesia,Q1_2_22_visited_region_vietnam,Q1_2_24_visited_region_etc,Q1_3_1_visited_region_age_10,Q1_3_2_visited_region_age_20,Q1_3_3_visited_region_age_30,Q1_3_4_visited_region_age_40,Q1_3_5_visited_region_age_50,Q1_3_6_visited_region_age_60,Q1_4_1_visited_region_individual,Q1_4_2_visited_region_group,Q1_4_3_visited_region_airtel,Q1_5_1_visited_region_first,Q1_5_1_visited_region_second,Q1_5_1_visited_region_third,Q1_5_1_visited_region_over_fourth,Q2_1_1_stay_days_jan,Q2_1_2_stay_days_feb,Q2_1_3_stay_days_mar,Q2_1_4_stay_days_apr,Q2_1_5_stay_days_may,Q2_1_6_stay_days_jun,Q2_1_7_stay_days_jul,Q2_1_8_stay_days_aug,Q2_1_9_stay_days_sep,Q2_1_10_stay_days_oct,Q2_1_11_stay_days_nov,Q2_1_12_stay_days_dec,Q2_2_1_stay_days_japan,Q2_2_2_stay_days_china,Q2_2_3_stay_days_hongkong,Q2_2_4_stay_days_singapor,Q2_2_5_stay_days_taiwan,Q2_2_6_stay_days_thailand,Q2_2_7_stay_days_malaysia,Q2_2_8_stay_days_australia,Q2_2_9_stay_days_america,Q2_2_10_stay_days_canada,Q2_2_11_stay_days_england,Q2_2_12_stay_days_germany,Q2_2_13_stay_days_france,Q2_2_14_stay_days_russia,Q2_2_15_stay_days_middleEast,Q2_2_19_stay_days_india,Q2_2_20_stay_days_philippines,Q2_2_22_stay_days_indonesia,Q2_2_23_stay_days_vietnam,Q2_2_24_stay_days_mongolia,Q2_2_25_stay_days_etc,Q2_3_1_stay_days_age_10,Q2_3_2_stay_days_age_20,Q2_3_3_stay_days_age_30,Q2_3_4_stay_days_age_40,Q2_3_5_stay_days_age_50,Q2_3_6_stay_days_age_60,Q2_4_1_stay_days_individual,Q2_4_2_stay_days_group,Q2_4_3_stay_days_airtel,Q2_5_1_stay_days_first,Q2_5_2_stay_days_second,Q2_5_3_stay_days_third,Q2_5_4_stay_days_over_fourth,
0,모든 지역,1259,1300,1276,1113,1000,1025,1039,1147,1122,1221,1146,1195,2615,4585,743,228,1049,510,328,167,933,186,132,112,97,246,226,85,284,195,332,787,953,5655,3429,2128,1217,444,11462,1606,773,6471,2474,1315,3581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,서울특별시,950,973,973,891,798,828,823,907,879,977,941,976,1939,3393,650,213,837,461,299,146,795,159,111,81,88,196,187,62,249,184,227,636,866.0,4564.0,2754.0,1576.0,813.0,328.0,9044.0,1155.0,713.0,5085.0,1948.0,1001.0,2877.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,경기도,212,139,189,187,153,168,170,150,175,212,174,228,198,538,77,42,271,122,85,21,232,27,14,17,9,31,39,30,105,49,108,140,182.0,796.0,546.0,363.0,190.0,75.0,1688.0,438.0,30.0,1061.0,389.0,201.0,505.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,부산광역시,158,150,169,168,161,170,178,184,158,201,174,225,495,364,91,62,216,75,69,37,130,40,30,24,25,69,39,16,47,27,45,193,119.0,740.0,432.0,412.0,309.0,83.0,1669.0,410.0,16.0,1122.0,371.0,217.0,385.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,제주특별자치도,229,239,173,120,88,100,84,100,83,99,75,107,71,968,46,42,38,11,48,19,54,16,7,8,10,14,9,4,10,24,31,69,87.0,912.0,306.0,107.0,57.0,26.0,1292.0,162.0,44.0,851.0,279.0,130.0,237.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,인천광역시,150,91,124,113,109,105,124,125,106,115,96,129,83,431,42,16,170,69,52,20,134,25,17,14,9,41,38,16,42,24,41,101,115.0,538.0,352.0,227.0,115.0,38.0,1106.0,271.0,10.0,720.0,217.0,126.0,324.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,강원도,121,68,82,75,55,67,39,47,57,118,82,127,27,109,69,35,140,83,104,13,43,13,8,8,6,10,7,5,84,71,55,49,78.0,359.0,219.0,172.0,79.0,28.0,578.0,349.0,11.0,610.0,165.0,53.0,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,대구광역시,54,22,45,32,14,24,25,28,25,22,23,30,36,67,8,5,43,10,5,8,47,8,8,7,5,13,11,3,5,4,5,42,26.0,134.0,77.0,61.0,30.0,15.0,314.0,28.0,.0,159.0,61.0,33.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,경상북도,37,27,24,33,20,37,31,27,33,31,25,34,74,57,15,6,46,10,8,3,29,9,4,7,7,5,9,5,9,7,10,39,12.0,115.0,75.0,74.0,65.0,19.0,247.0,110.0,2.0,200.0,62.0,33.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,경상남도,18,20,22,31,27,27,26,29,28,28,27,21,69,41,18,2,37,11,6,8,21,5,6,6,3,7,5,3,8,3,13,32,10.0,86.0,64.0,66.0,62.0,14.0,203.0,99.0,.0,176.0,51.0,27.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
