region_code,Coordinates,Name,Q1_1_1_visited_region_jan,Q1_1_2_visited_region_feb,Q1_1_3_visited_region_mar,Q1_1_4_visited_region_apr,Q1_1_5_visited_region_may,Q1_1_6_visited_region_jun,Q1_1_7_visited_region_jul,Q1_1_8_visited_region_aug,Q1_1_9_visited_region_sep,Q1_1_10_visited_region_oct,Q1_1_11_visited_region_nov,Q1_1_12_visited_region_dec,Q1_2_1_visited_region_japan,Q1_2_2_visited_region_china,Q1_2_3_visited_region_hongkong,Q1_2_4_visited_region_singapore,Q1_2_5_visited_region_taiwan,Q1_2_6_visited_region_thailand,Q1_2_7_visited_region_malasia,Q1_2_8_visited_region_australia,Q1_2_9_visited_region_america,Q1_2_10_visited_region_canada,Q1_2_11_visited_region_england,Q1_2_12_visited_region_germany,Q1_2_13_visited_region_france,Q1_2_14_visited_region_russia,Q1_2_15_stay_days_middleEast,Q1_2_16_stay_days_centralAsia,Q1_2_17_stay_days_gcc,Q1_2_18_stay_days_etc_middleEastEtc,Q1_2_19_visited_region_india,Q1_2_20_visited_region_philipines,Q1_2_21_visited_region_indonesia,Q1_2_22_visited_region_vietnam,Q1_2_23_visited_region_mongolia,Q1_2_24_visited_region_etc,Q1_3_1_visited_region_age_10,Q1_3_2_visited_region_age_20,Q1_3_3_visited_region_age_30,Q1_3_4_visited_region_age_40,Q1_3_5_visited_region_age_50,Q1_3_6_visited_region_age_60,Q1_4_1_visited_region_individual,Q1_4_2_visited_region_group,Q1_4_3_visited_region_airtel,Q1_5_1_visited_region_first,Q1_5_1_visited_region_second,Q1_5_1_visited_region_third,Q1_5_1_visited_region_over_fourth,Q2_1_1_stay_days_jan,Q2_1_2_stay_days_feb,Q2_1_3_stay_days_mar,Q2_1_4_stay_days_apr,Q2_1_5_stay_days_may,Q2_1_6_stay_days_jun,Q2_1_7_stay_days_jul,Q2_1_8_stay_days_aug,Q2_1_9_stay_days_sep,Q2_1_10_stay_days_oct,Q2_1_11_stay_days_nov,Q2_1_12_stay_days_dec,Q2_2_1_stay_days_japan,Q2_2_2_stay_days_china,Q2_2_3_stay_days_hongkong,Q2_2_4_stay_days_singapor,Q2_2_5_stay_days_taiwan,Q2_2_6_stay_days_thailand,Q2_2_7_stay_days_malaysia,Q2_2_8_stay_days_australia,Q2_2_9_stay_days_america,Q2_2_10_stay_days_canada,Q2_2_11_stay_days_england,Q2_2_12_stay_days_germany,Q2_2_13_stay_days_france,Q2_2_14_stay_days_russia,Q2_2_15_stay_days_middleEast,Q2_2_16_stay_days_centralAsia,Q2_2_17_stay_days_gcc,Q2_2_18_stay_days_etc_middleEastEtc,Q2_2_19_stay_days_india,Q2_2_20_stay_days_philippines,Q2_2_22_stay_days_indonesia,Q2_2_23_stay_days_vietnam,Q2_2_24_stay_days_mongolia,Q2_2_25_stay_days_etc,Q2_3_1_stay_days_age_10,Q2_3_2_stay_days_age_20,Q2_3_3_stay_days_age_30,Q2_3_4_stay_days_age_40,Q2_3_5_stay_days_age_50,Q2_3_6_stay_days_age_60,Q2_4_1_stay_days_individual,Q2_4_2_stay_days_group,Q2_4_3_stay_days_airtel,Q2_5_1_stay_days_first,Q2_5_2_stay_days_second,Q2_5_3_stay_days_third,Q2_5_4_stay_days_over_fourth
0,,모든 지역,1003,1113,1425,1486,1336,1353,1336,1437,1340,1526,1352,1370,3162,5854,681,230,1222,504,380,153,957,183,127,107,101,281,227,144,34,49,92,311,220,491,113,680,620,5377,3811,2599,2832,837,12392,2431,1253,6696,2787,1774,4818,1003,1113,1425,1486,1336,1353,1336,1437,1340,1526,1352,1370,3162,5854,681,230,1222,504,380,153,957,183,127,107,101,281,227,144,34,49,92,311,220,491,113,680,620,5377,3811,2599,2832,837,12392,2431,1253,6696,2787,1774,4818
11,,서울특별시,771,857,1118,1166,1036,1069,1005,1059,1028,1143,1003,1032,2299,4371,568,216,830,381,284,129,798,156,103,80,92,202,196,119,32,46,70,270,203,395,98,545,554.0,4204.0,2925.0,1928.0,1999.0,677.0,9274.0,1874.0,1139.0,5319.0,2071.0,1317.0,3579.0,5.77,5.74,4.95,5.67,5.50,5.43,6.08,6.07,5.16,5.14,5.31,4.99,3.49,5.53,5.33,6.51,4.83,4.43,5.53,7.37,6.78,6.16,6.41,8.28,8.33,7.56,7.56,7.91,9.24,5.55,6.83,5.66,5.37,6.31,11.57,7.85,7.30,5.88,5.17,5.15,5.13,4.74,6.00,3.94,3.70,5.48,5.57,5.58,5.36
41,,경기도,148,153,172,254,192,200,228,211,225,265,166,188,244,582,59,70,241,212,83,21,259,33,21,22,15,34,35,21,6,8,36,125,62,114,26,107,77.0,604.0,585.0,471.0,461.0,194.0,1671.0,659.0,72.0,1068.0,430.0,242.0,662.0,7.51,6.00,6.06,4.06,4.43,6.58,4.88,4.86,4.85,2.76,4.10,4.13,2.97,8.75,1.71,1.35,2.53,2.21,1.60,3.56,6.29,4.06,4.58,5.17,3.67,4.07,7.19,6.49,1.89,12.31,14.18,2.40,1.97,2.99,10.46,5.13,4.99,4.30,5.12,5.31,4.47,5.65,6.31,1.53,2.76,3.39,4.88,5.93,6.88
26,,부산광역시,141,136,170,200,201,194,212,210,192,239,185,184,508,400,82,41,324,71,64,36,151,35,36,25,27,73,27,19,3,6,17,38,34,67,13,197,8.0,893.0,445.0,336.0,430.0,97.0,1808.0,383.0,73.0,1029.0,446.0,224.0,566.0,3.72,5.09,3.81,3.69,3.46,3.35,3.82,3.86,3.73,4.44,4.50,4.46,3.46,4.45,3.81,2.78,3.76,4.03,3.77,4.29,3.99,4.63,4.55,4.68,4.02,5.77,4.39,5.03,3.40,2.87,3.49,3.58,3.20,3.77,5.38,4.20,3.44,4.14,4.04,3.84,3.93,3.13,4.15,3.26,3.46,3.73,4.21,4.00,4.22
50,,제주특별자치도,84,89,109,146,119,122,137,146,151,183,148,153,60,1021,60,29,41,54,85,8,41,13,8,6,13,17,11,8,3,0,2,8,18,25,3,64,0.0,558.0,398.0,232.0,320.0,47.0,1213.0,328.0,48.0,833.0,272.0,187.0,296.0,4.67,4.87,4.31,3.99,3.83,4.39,4.13,4.87,4.50,4.02,4.24,4.01,4.72,4.25,4.79,3.76,4.66,3.36,4.42,4.06,3.89,6.08,6.15,4.14,4.38,4.92,5.49,5.76,4.87,5.00,3.64,4.51,3.09,3.74,7.84,4.36,4.49,4.27,4.27,4.19,4.36,4.49,4.38,3.95,4.30,4.32,4.39,4.02,4.26
28,,인천광역시,95,88,82,76,116,106,87,146,147,142,94,115,72,611,21,10,129,79,19,21,89,24,12,10,9,19,22,17,3,2,7,19,12,27,20,61,0.0,327.0,308.0,204.0,237.0,153.0,736.0,522.0,36.0,669.0,196.0,109.0,320.0,4.40,3.18,5.09,3.72,4.33,3.71,3.01,4.33,3.03,3.34,3.29,2.91,2.27,4.02,2.79,3.34,3.00,1.77,2.90,2.79,3.30,4.44,3.77,2.68,3.09,4.18,4.84,3.63,11.74,4.12,8.08,5.12,3.01,6.33,8.91,3.29,4.01,3.39,3.99,3.86,3.72,3.17,4.40,2.72,2.96,3.47,3.15,4.94,4.01
42,,강원도,81,86,96,144,82,79,75,74,102,162,109,168,43,132,73,70,163,107,126,13,60,12,7,7,9,4,9,4,3,2,2,137,111,118,7,50,0.0,386.0,294.0,236.0,219.0,73.0,759.0,479.0,21.0,719.0,245.0,109.0,186.0,1.62,1.69,1.15,1.93,2.33,2.23,2.20,2.46,1.54,1.69,1.41,1.84,2.31,2.97,1.38,1.29,1.44,1.68,1.19,2.63,2.54,2.70,4.06,3.87,2.93,5.18,7.78,15.54,1.15,2.00,1.17,1.14,1.45,1.18,5.17,3.22,1.90,1.67,1.91,2.11,1.61,1.65,2.05,1.43,1.47,1.69,1.49,1.70,2.75
27,,대구광역시,31,36,34,29,41,41,63,59,52,67,50,61,93,111,12,5,151,13,11,4,40,7,5,3,7,13,10,9,1,1,3,9,5,14,2,45,0.0,197.0,129.0,96.0,110.0,10.0,415.0,145.0,2.0,240.0,87.0,70.0,165.0,2.83,3.76,6.54,4.03,6.23,2.89,4.68,2.70,3.53,3.38,3.07,3.74,3.23,5.95,2.50,2.64,2.63,3.62,2.84,7.60,4.46,4.19,2.58,3.30,3.54,5.23,6.09,5.57,20.18,2.00,3.64,3.00,2.58,5.59,7.67,3.26,3.28,4.00,4.08,4.14,3.29,3.17,4.34,2.54,2.00,3.92,3.52,3.88,3.96
47,,경상북도,45,34,30,40,36,53,42,53,29,60,49,31,69,71,14,4,122,13,12,10,37,7,7,8,15,3,4,2,0,2,2,7,6,18,0,70,0.0,170.0,107.0,83.0,106.0,21.0,326.0,157.0,18.0,235.0,94.0,59.0,114.0,2.58,3.95,2.92,3.26,3.08,3.54,3.45,3.46,3.04,4.02,4.76,4.74,2.57,6.46,2.71,2.75,2.38,2.47,2.89,4.58,3.29,4.02,4.34,4.39,4.19,2.41,8.61,6.09,5.00,10.85,1.96,3.46,5.71,3.25,41.00,3.57,2.85,2.94,3.48,3.49,4.61,4.91,4.39,2.07,2.42,2.82,3.30,4.33,4.97
48,,경상남도,22,15,18,25,22,24,32,13,26,37,23,21,39,44,7,2,35,16,7,6,20,5,5,7,8,7,5,3,1,1,4,7,4,23,1,27,.0,80.0,54.0,55.0,72.0,12.0,213.0,60.0,6.0,106.0,70.0,30.0,72.0,4.80,3.81,4.33,3.50,4.52,3.16,4.71,6.06,4.99,3.15,4.37,3.95,2.35,4.51,2.42,3.11,2.38,4.31,2.83,5.15,4.46,2.96,6.59,7.13,2.00,4.73,7.66,9.77,3.88,4.00,5.60,4.64,3.51,4.17,12.44,7.62,2.57,5.06,3.63,3.78,3.83,4.91,4.80,1.97,4.66,3.33,4.55,3.40,5.43
45,,전라북도,16,19,13,20,21,19,25,42,27,48,19,6,29,96,12,7,25,2,2,4,30,6,4,6,6,4,2,2,0,0,0,7,4,6,2,23,0.0,69.0,60.0,59.0,61.0,20.0,211.0,60.0,4.0,128.0,57.0,19.0,71.0,8.12,4.40,5.46,3.12,7.01,3.81,7.74,9.34,2.64,4.75,6.63,4.67,4.34,9.59,2.56,1.38,3.07,4.22,2.10,2.50,5.41,3.31,4.00,3.54,2.70,5.47,2.76,2.77,2.00,3.00,5.48,5.73,1.61,5.40,22.17,3.29,2.31,6.50,4.03,6.09,7.64,5.08,6.93,2.59,1.62,3.88,9.06,3.61,7.65
30,,대전광역시,9,28,13,15,20,20,9,29,25,20,25,23,30,70,4,1,9,7,2,2,25,5,3,5,3,9,7,6,0,1,2,2,5,6,2,38,.0,71.0,62.0,49.0,38.0,10.0,221.0,13.0,3.0,95.0,39.0,27.0,74.0,5.27,12.37,10.21,4.26,5.17,6.37,3.64,5.19,5.21,8.01,5.02,5.85,3.72,7.53,1.54,7.67,2.14,3.28,1.71,3.49,3.49,3.67,4.13,4.79,3.64,5.14,12.40,12.54,1.00,16.18,10.41,3.87,5.54,15.10,4.21,11.10,17.91,8.99,6.81,4.18,4.30,4.22,6.92,2.31,2.26,6.06,6.53,12.57,5.14
44,,충청남도,14,13,10,20,13,12,20,25,17,23,19,38,43,107,2,2,3,2,5,2,14,3,1,4,2,2,5,4,1,0,4,2,3,8,3,9,.0,51.0,51.0,48.0,48.0,23.0,194.0,26.0,5.0,65.0,33.0,24.0,103.0,7.11,7.94,24.19,4.67,5.97,6.26,6.30,5.97,10.13,4.38,3.95,9.57,4.78,9.96,1.00,1.67,2.96,25.51,4.65,1.56,4.49,6.09,4.87,4.98,3.79,2.17,9.91,11.13,2.63,,3.08,6.94,5.08,10.04,13.51,3.10,5.21,8.13,7.27,6.14,7.27,10.77,8.35,2.10,4.98,4.43,10.95,10.84,7.44
43,,충청북도,20,7,12,14,13,7,17,16,3,27,20,23,12,111,1,0,5,2,2,1,14,3,1,3,2,2,3,3,0,0,1,3,2,1,3,7,0.0,39.0,51.0,25.0,38.0,17.0,161.0,17.0,1.0,66.0,30.0,20.0,64.0,26.36,7.96,4.44,6.48,9.06,4.91,9.00,5.54,4.50,11.98,11.31,7.73,5.41,13.74,3.28,1.00,2.68,3.61,2.69,3.99,3.66,3.55,6.72,6.37,9.07,6.89,13.76,14.53,2.00,,12.62,5.86,9.02,23.46,8.90,5.45,8.80,15.86,7.25,20.99,5.39,4.46,9.31,21.04,6.25,12.28,12.80,12.41,6.88
